# Forces           
# CofR             : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time             forces(pressure viscous porous)	moments(pressure viscous porous)
0.0005             	((1.343915864557e-01 2.472002707420e-05 -2.922843871033e-20) (1.427281998021e-04 1.615978510351e-08 -6.564557601202e-24) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.753089399375e-23 4.204876379303e-22 -2.515349040166e-16) (1.979100701751e-24 -6.540314778241e-25 -3.989206262413e-14) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.001              	((-1.605620228844e-03 1.083529600903e-04 -1.069983123502e-21) (1.288935537886e-04 3.306269455142e-08 -4.541788696911e-25) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.151824056685e-25 1.777278412072e-23 -2.477904889942e-16) (1.566001340935e-25 -4.851440078839e-26 -7.709183153066e-12) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.0015             	((5.551833081673e-03 -9.161912487798e-06 -9.495931284860e-22) (1.280440242276e-04 -4.281845420961e-08 4.445134272910e-25) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.021865744574e-24 1.335378966538e-23 -3.923349229080e-13) (1.375651519832e-25 -1.090198156754e-25 -7.061781938079e-12) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.002              	((5.558471491341e-03 -1.552853680337e-05 -6.504560874665e-22) (1.280109083211e-04 -8.112226431929e-08 -2.304432886308e-24) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.047834850862e-24 2.606600786979e-23 -2.507104002929e-12) (2.026397123049e-25 -2.784401271108e-26 -8.305002841733e-12) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.0025             	((5.470431317527e-03 -7.650060958012e-06 -1.047806365421e-21) (1.285332874275e-04 -9.300015198905e-08 7.967645330728e-25) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((7.188442727360e-24 1.940146633864e-23 -4.403889867599e-12) (1.280021922575e-25 -1.302675037309e-25 -9.208507178735e-12) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.003              	((5.441447130973e-03 -5.840619538424e-06 -6.852472733583e-22) (1.293944171934e-04 -9.947571922889e-08 -2.016553151353e-24) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.180227075485e-24 2.558418332907e-23 -6.063939786943e-12) (2.233761011045e-25 -2.960166063863e-26 -1.043735139405e-11) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.0035             	((5.514451085785e-03 -9.842461355895e-06 -9.533835249083e-22) (1.304664000755e-04 -1.069248402128e-07 3.197814817060e-25) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.461381685801e-25 1.315267199062e-23 -7.728881240983e-12) (1.412867281728e-25 -9.901424068265e-26 -1.188688627152e-11) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.004              	((5.573029994297e-03 -3.848569873853e-06 -1.051571982272e-21) (1.317859822907e-04 -1.117748381329e-07 -2.717899816486e-26) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.195850099199e-25 1.640259146637e-23 -9.316442458796e-12) (1.564415644517e-25 -5.716176940643e-26 -1.370847028943e-11) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.0045             	((5.451616015491e-03 -2.850520823974e-06 -3.087669655249e-22) (1.332139084253e-04 -1.101673180915e-07 -2.819928216597e-24) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.746125480087e-24 1.605902048675e-23 -1.043037186010e-11) (2.454132995969e-25 -6.562905459923e-26 -1.393626407105e-11) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.005096875        	((5.479476433587e-03 1.512022491956e-08 -2.968192854836e-22) (1.351697914445e-04 -1.079633304436e-07 -3.790527919755e-24) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.457780426683e-24 2.076272245735e-23 -1.198906791095e-11) (2.192515116070e-25 -6.590205992200e-26 -1.485863317363e-11) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
